nonstationary level,time series length,observation noise,process noise,evidence,significance_level
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.1,0.0,-22.787481680136242,0.005235667248091554
1,200,0.1,0.0,-22.621644692449358,0.005438351062834108
2,200,0.1,0.0,0.2960962372828639,0.5170380701785974
0,200,0.2,0.0,-22.78712784191406,0.005236091603930528
1,200,0.2,0.0,-22.468241854408188,0.005632777734332422
2,200,0.2,0.0,-20.73715292453754,0.008368259264942019
0,200,0.3,0.0,-22.678423062246335,0.005368093608772209
1,200,0.3,0.0,-22.674698117594993,0.005372675051268534
2,200,0.3,0.0,-21.53529836053766,0.006973184245926575
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
2,200,0.0,0.0,110.88467943733443,0.999999999991843
0,200,0.0,0.1,-22.767745510651697,0.0052593890471508585
1,200,0.0,0.1,-18.288364050139243,0.014614029168124307
2,200,0.0,0.1,-12.502081052654972,0.05321606696718082
0,200,0.0,0.2,1.8479462980039894,0.60479988069519
1,200,0.0,0.2,-15.015708995429236,0.030546133640821916
2,200,0.0,0.2,73.8237923984108,0.9999999585408168
0,50,0.0,0.0,-21.466595488928544,0.007083585518966008
1,50,0.0,0.0,-22.21572468823432,0.005967987462972085
2,50,0.0,0.0,-22.38027464379939,0.005747371675627774
0,100,0.0,0.0,-22.78751264612076,0.005235630112419194
1,100,0.0,0.0,-22.745369524493654,0.0052864131011938174
2,100,0.0,0.0,-20.94174197662237,0.007986260817915269
0,200,0.0,0.0,-22.78729128962842,0.005235895577916308
1,200,0.0,0.0,50.176533823479346,0.9999903984256834
